Time,GEMS_GEMS_SPENT
2015/6/1,43
2015/6/2,39
2015/6/3,43
2015/6/4,29
2015/6/5,22
2015/6/6,21
2015/6/7,25
2015/6/8,30
2015/6/9,41
2015/6/10,34
2015/6/11,34
2015/6/12,30
2015/6/13,29
2015/6/14,42
2015/6/15,46
2015/6/16,59
2015/6/17,48
2015/6/18,39
2015/6/19,43
2015/6/20,56
2015/6/21,51
2015/6/22,36
2015/6/23,40
2015/6/24,14
2015/6/25,17
2015/6/26,35
2015/6/27,21
2015/6/28,29
2015/6/29,30
2015/6/30,40
2015/7/1,31
2015/7/2,24
2015/7/3,42
2015/7/4,41
2015/7/5,43
2015/7/6,32
2015/7/7,31
2015/7/8,47
2015/7/9,72
2015/7/10,66
2015/7/11,44
2015/7/12,41
2015/7/13,55
2015/7/14,74
2015/7/15,33
2015/7/16,54
2015/7/17,66
2015/7/18,62
2015/7/19,31
2015/7/20,51
2015/7/21,31
2015/7/22,24
2015/7/23,20
2015/7/24,21
2015/7/25,31
2015/7/26,48
2015/7/27,41
2015/7/28,31
2015/7/29,34
2015/7/30,37
2015/7/31,28
2015/8/1,46
2015/8/2,37
2015/8/3,30
2015/8/4,14
2015/8/5,25
2015/8/6,38
2015/8/7,63
2015/8/8,70
2015/8/9,74
2015/8/10,55
2015/8/11,57
2015/8/12,48
2015/8/13,38
2015/8/14,18
2015/8/15,23
2015/8/16,45
2015/8/17,72
2015/8/18,72
2015/8/19,52
2015/8/20,26
2015/8/21,20
2015/8/22,27
2015/8/23,32
2015/8/24,33
2015/8/25,43
2015/8/26,44
2015/8/27,49
2015/8/28,48
2015/8/29,45
2015/8/30,52
2015/8/31,35
2015/9/1,38
2015/9/2,76
2015/9/3,46
2015/9/4,29
2015/9/5,23
2015/9/6,26
2015/9/7,51
2015/9/8,55
2015/9/9,42
2015/9/10,13
2015/9/11,13
2015/9/12,19
2015/9/13,28
2015/9/14,40
2015/9/15,50
2015/9/16,67
2015/9/17,76
2015/9/18,55
2015/9/19,72
2015/9/20,57
2015/9/21,45
2015/9/22,28
2015/9/23,24
2015/9/24,20
2015/9/25,26
2015/9/26,40
2015/9/27,41
2015/9/28,48
2015/9/29,51
2015/9/30,49
2015/10/1,47
2015/10/2,42
2015/10/3,68
2015/10/4,88
2015/10/5,80
2015/10/6,85
2015/10/7,63
2015/10/8,25
2015/10/9,28
2015/10/10,26
2015/10/11,31
2015/10/12,44
2015/10/13,81
2015/10/14,84
2015/10/15,75
2015/10/16,106
2015/10/17,82
2015/10/18,80
2015/10/19,142
2015/10/20,152
2015/10/21,125
2015/10/22,59
2015/10/23,59
2015/10/24,67
2015/10/25,37
2015/10/26,18
2015/10/27,26
2015/10/28,50
2015/10/29,56
2015/10/30,23
2015/10/31,16
2015/11/1,24
2015/11/2,47
2015/11/3,78
2015/11/4,80
2015/11/5,80
2015/11/6,23
2015/11/7,20
2015/11/8,22
2015/11/9,50
2015/11/10,54
2015/11/11,38
2015/11/12,61
2015/11/13,66
2015/11/14,60
2015/11/15,51
2015/11/16,70
2015/11/17,66
2015/11/18,33
2015/11/19,46
2015/11/20,62
2015/11/21,40
2015/11/22,29
2015/11/23,26
2015/11/24,18
2015/11/25,25
2015/11/26,28
2015/11/27,67
2015/11/28,128
2015/11/29,171
2015/11/30,199
2015/12/1,117
2015/12/2,38
2015/12/3,33
2015/12/4,42
2015/12/5,76
2015/12/6,121
2015/12/7,157
2015/12/8,173
2015/12/9,190
2015/12/10,130
2015/12/11,116
2015/12/12,85
2015/12/13,45
2015/12/14,33
2015/12/15,39
2015/12/16,26
2015/12/17,49
2015/12/18,75
2015/12/19,114
2015/12/20,160
2015/12/21,226
2015/12/22,216
2015/12/23,267
2015/12/24,96
2015/12/25,45
2015/12/26,50
2015/12/27,106
2015/12/28,161
2015/12/29,156
2015/12/30,138
2015/12/31,170
2016/1/1,132
2016/1/2,227
2016/1/3,212
2016/1/4,215
2016/1/5,238
2016/1/6,271
2016/1/7,168
2016/1/8,147
2016/1/9,153
2016/1/10,141
2016/1/11,134
2016/1/12,123
2016/1/13,118
2016/1/14,58
2016/1/15,74
2016/1/16,119
2016/1/17,63
2016/1/18,37
2016/1/19,38
2016/1/20,58
2016/1/21,99
2016/1/22,37
2016/1/23,17
2016/1/24,16
2016/1/25,42
2016/1/26,60
2016/1/27,95
2016/1/28,88
2016/1/29,145
2016/1/30,148
2016/1/31,42
2016/2/1,38
2016/2/2,61
2016/2/3,104
2016/2/4,98
2016/2/5,55
2016/2/6,24
2016/2/7,46
2016/2/8,201
2016/2/9,128
2016/2/10,133
2016/2/11,156
2016/2/12,74
2016/2/13,26
2016/2/14,19
2016/2/15,34
2016/2/16,36
2016/2/17,41
2016/2/18,63
2016/2/19,74
2016/2/20,62
2016/2/21,66
2016/2/22,92
2016/2/23,62
2016/2/24,82
2016/2/25,69
2016/2/26,45
2016/2/27,42
2016/2/28,36
2016/2/29,28
2016/3/1,61
2016/3/2,57
2016/3/3,61
2016/3/4,79
2016/3/5,63
2016/3/6,92
2016/3/7,92
2016/3/8,95
2016/3/9,49
2016/3/10,41
2016/3/11,53
2016/3/12,108
2016/3/13,58
2016/3/14,57
2016/3/15,83
2016/3/16,134
2016/3/17,142
2016/3/18,104
2016/3/19,82
2016/3/20,96
2016/3/21,79
2016/3/22,99
2016/3/23,139
2016/3/24,113
2016/3/25,90
2016/3/26,29
2016/3/27,37
2016/3/28,50
2016/3/29,57
2016/3/30,72
2016/3/31,61
2016/4/1,74
2016/4/2,85
2016/4/3,42
2016/4/4,61
2016/4/5,82
2016/4/6,46
2016/4/7,37
2016/4/8,65
2016/4/9,36
2016/4/10,63
2016/4/11,79
2016/4/12,93
2016/4/13,71
2016/4/14,54
2016/4/15,39
2016/4/16,24
2016/4/17,45
2016/4/18,55
2016/4/19,59
2016/4/20,53
2016/4/21,48
2016/4/22,45
2016/4/23,26
2016/4/24,49
2016/4/25,46
2016/4/26,54
2016/4/27,31
2016/4/28,43
2016/4/29,72
2016/4/30,60
2016/5/1,53
2016/5/2,43
2016/5/3,44
2016/5/4,66
2016/5/5,87
2016/5/6,51
2016/5/7,44
2016/5/8,55
2016/5/9,34
2016/5/10,56
2016/5/11,58
2016/5/12,72
2016/5/13,35
2016/5/14,23
2016/5/15,22
2016/5/16,31
2016/5/17,51
2016/5/18,35
2016/5/19,60
2016/5/20,66
2016/5/21,49
2016/5/22,52
2016/5/23,19
2016/5/24,20
2016/5/25,23
2016/5/26,20
2016/5/27,30
2016/5/28,33
2016/5/29,27
2016/5/30,55
2016/5/31,60
2016/6/1,43
2016/6/2,31
2016/6/3,26
2016/6/4,30
2016/6/5,28
2016/6/6,69
2016/6/7,26
2016/6/8,45
2016/6/9,46
2016/6/10,17
2016/6/11,38
2016/6/12,36
2016/6/13,33
2016/6/14,20
2016/6/15,17
2016/6/16,19
2016/6/17,25
2016/6/18,44
2016/6/19,43
2016/6/20,41
2016/6/21,32
2016/6/22,41
2016/6/23,14
2016/6/24,23
2016/6/25,33
2016/6/26,26
2016/6/27,34
2016/6/28,28
2016/6/29,30
2016/6/30,29
2016/7/1,20
2016/7/2,30
2016/7/3,30
2016/7/4,24
2016/7/5,17
2016/7/6,30
2016/7/7,27
2016/7/8,13
2016/7/9,33
2016/7/10,45
2016/7/11,44
2016/7/12,14
2016/7/13,22
2016/7/14,12
2016/7/15,25
2016/7/16,28
2016/7/17,27
2016/7/18,51
2016/7/19,12
2016/7/20,24
2016/7/21,29
2016/7/22,32
2016/7/23,49
2016/7/24,46
2016/7/25,14
2016/7/26,17
2016/7/27,17
2016/7/28,26
2016/7/29,30
2016/7/30,23
2016/7/31,24
2016/8/1,30
2016/8/2,29
2016/8/3,41
2016/8/4,45
2016/8/5,40
2016/8/6,46
2016/8/7,50
2016/8/8,42
2016/8/9,32
2016/8/10,32
2016/8/11,28
2016/8/12,21
2016/8/13,26
2016/8/14,21
2016/8/15,27
2016/8/16,43
2016/8/17,44
2016/8/18,50
2016/8/19,18
2016/8/20,44
2016/8/21,44
2016/8/22,39
2016/8/23,42
2016/8/24,57
2016/8/25,12
2016/8/26,12
2016/8/27,30
2016/8/28,28
2016/8/29,48
2016/8/30,52
2016/8/31,39
2016/9/1,28
2016/9/2,33
2016/9/3,52
2016/9/4,38
2016/9/5,57
2016/9/6,33
2016/9/7,29
2016/9/8,43
2016/9/9,44
2016/9/10,23
2016/9/11,35
2016/9/12,53
2016/9/13,74
2016/9/14,85
2016/9/15,60
2016/9/16,67
2016/9/17,83
2016/9/18,95
2016/9/19,30
2016/9/20,41
2016/9/21,47
2016/9/22,50
2016/9/23,56
2016/9/24,48
2016/9/25,58
2016/9/26,83
2016/9/27,61
2016/9/28,38
2016/9/29,60
2016/9/30,82
2016/10/1,103
2016/10/2,117
2016/10/3,90
2016/10/4,52
2016/10/5,26
2016/10/6,48
2016/10/7,25
2016/10/8,40
2016/10/9,44
2016/10/10,75
2016/10/11,86
2016/10/12,70
2016/10/13,79
2016/10/14,49
2016/10/15,54
2016/10/16,49
2016/10/17,44
2016/10/18,77
2016/10/19,109
2016/10/20,66
2016/10/21,26
2016/10/22,26
2016/10/23,21
2016/10/24,21
2016/10/25,36
2016/10/26,36
2016/10/27,18
2016/10/28,15
2016/10/29,29
2016/10/30,61
2016/10/31,43
2016/11/1,78
2016/11/2,129
2016/11/3,179
2016/11/4,169
2016/11/5,189
2016/11/6,159
2016/11/7,25
2016/11/8,45
2016/11/9,100
2016/11/10,94
2016/11/11,86
2016/11/12,108
2016/11/13,176
2016/11/14,166
2016/11/15,157
2016/11/16,221
2016/11/17,254
2016/11/18,188
2016/11/19,128
2016/11/20,148
2016/11/21,131
2016/11/22,15
2016/11/23,30
2016/11/24,72
2016/11/25,104
2016/11/26,84
2016/11/27,143
2016/11/28,167
2016/11/29,101
2016/11/30,81
2016/12/1,145
2016/12/2,206
2016/12/3,117
2016/12/4,79
2016/12/5,78
2016/12/6,90
2016/12/7,166
2016/12/8,198
2016/12/9,209
2016/12/10,177
2016/12/11,161
2016/12/12,167
2016/12/13,248
2016/12/14,274
2016/12/15,189
2016/12/16,150
2016/12/17,212
2016/12/18,312
2016/12/19,393
2016/12/20,437
2016/12/21,144
2016/12/22,75
2016/12/23,111
2016/12/24,138
2016/12/25,85
2016/12/26,38
2016/12/27,45
2016/12/28,76
2016/12/29,130
2016/12/30,211
2016/12/31,298
2017/1/1,350
2017/1/2,294
2017/1/3,373
2017/1/4,476
2017/1/5,493
2017/1/6,161
2017/1/7,66
2017/1/8,95
2017/1/9,88
2017/1/10,58
2017/1/11,47
2017/1/12,56
2017/1/13,90
2017/1/14,159
2017/1/15,175
2017/1/16,266
2017/1/17,276
2017/1/18,295
2017/1/19,136
2017/1/20,38
2017/1/21,74
2017/1/22,136
2017/1/23,206
2017/1/24,292
2017/1/25,383
2017/1/26,224
2017/1/27,73
2017/1/28,157
2017/1/29,68
2017/1/30,57
2017/1/31,98
2017/2/1,156
2017/2/2,146
2017/2/3,215
2017/2/4,227
2017/2/5,243
2017/2/6,254
2017/2/7,115
2017/2/8,29
2017/2/9,35
2017/2/10,54
2017/2/11,85
2017/2/12,156
2017/2/13,193
2017/2/14,213
2017/2/15,250
2017/2/16,157
2017/2/17,102
2017/2/18,159
2017/2/19,199
2017/2/20,86
2017/2/21,51
2017/2/22,64
2017/2/23,29
2017/2/24,58
2017/2/25,75
2017/2/26,93
2017/2/27,121
2017/2/28,114
2017/3/1,29
2017/3/2,47
2017/3/3,68
2017/3/4,107
2017/3/5,100
2017/3/6,34
2017/3/7,63
2017/3/8,49
2017/3/9,65
2017/3/10,97
2017/3/11,112
2017/3/12,63
2017/3/13,31
2017/3/14,62
2017/3/15,58
2017/3/16,86
2017/3/17,78
2017/3/18,106
2017/3/19,106
2017/3/20,104
2017/3/21,88
2017/3/22,51
2017/3/23,81
2017/3/24,50
2017/3/25,38
2017/3/26,42
2017/3/27,67
2017/3/28,75
2017/3/29,110
2017/3/30,33
2017/3/31,34
2017/4/1,33
2017/4/2,71
2017/4/3,75
2017/4/4,69
2017/4/5,81
2017/4/6,77
2017/4/7,77
2017/4/8,37
2017/4/9,22
2017/4/10,28
2017/4/11,36
2017/4/12,31
2017/4/13,28
2017/4/14,48
2017/4/15,53
2017/4/16,24
2017/4/17,28
2017/4/18,29
2017/4/19,30
2017/4/20,31
2017/4/21,41
2017/4/22,51
2017/4/23,50
2017/4/24,53
2017/4/25,49
2017/4/26,48
2017/4/27,49
2017/4/28,33
2017/4/29,41
2017/4/30,56
2017/5/1,47
2017/5/2,36
2017/5/3,23
2017/5/4,46
2017/5/5,44
2017/5/6,43
2017/5/7,43
2017/5/8,43
2017/5/9,43
2017/5/10,39
2017/5/11,38
2017/5/12,33
2017/5/13,44
2017/5/14,36
2017/5/15,31
2017/5/16,23
2017/5/17,29
2017/5/18,39
2017/5/19,32
2017/5/20,39
2017/5/21,62
2017/5/22,41
2017/5/23,21
2017/5/24,28
2017/5/25,21
2017/5/26,25
2017/5/27,27
2017/5/28,36
2017/5/29,43
2017/5/30,29
2017/5/31,36
2017/6/1,40
2017/6/2,41
2017/6/3,57
2017/6/4,31
2017/6/5,20
2017/6/6,19
2017/6/7,17
2017/6/8,21
2017/6/9,28
2017/6/10,14
2017/6/11,27
2017/6/12,35
2017/6/13,32
2017/6/14,46
2017/6/15,36
2017/6/16,40
2017/6/17,56
2017/6/18,49
2017/6/19,43
2017/6/20,26
2017/6/21,38
2017/6/22,28
2017/6/23,42
2017/6/24,20
2017/6/25,27
2017/6/26,30
2017/6/27,40
2017/6/28,35
2017/6/29,31
2017/6/30,25
2017/7/1,33
2017/7/2,48
2017/7/3,52
2017/7/4,53
2017/7/5,51
2017/7/6,24
2017/7/7,24
2017/7/8,29
2017/7/9,31
2017/7/10,40
2017/7/11,41
2017/7/12,32
2017/7/13,30
2017/7/14,21
2017/7/15,29
2017/7/16,38
2017/7/17,24
2017/7/18,19
2017/7/19,20
2017/7/20,28
2017/7/21,25
2017/7/22,25
2017/7/23,24
2017/7/24,20
2017/7/25,32
2017/7/26,42
2017/7/27,39
2017/7/28,19
2017/7/29,34
2017/7/30,29
2017/7/31,38
2017/8/1,76
2017/8/2,61
2017/8/3,41
2017/8/4,45
2017/8/5,57
2017/8/6,43
2017/8/7,24
2017/8/8,15
2017/8/9,25
2017/8/10,30
2017/8/11,36
2017/8/12,30
2017/8/13,29
2017/8/14,34
2017/8/15,55
2017/8/16,46
2017/8/17,38
2017/8/18,44
2017/8/19,49
2017/8/20,45
2017/8/21,16
2017/8/22,31
2017/8/23,18
2017/8/24,30
2017/8/25,28
2017/8/26,36
2017/8/27,36
2017/8/28,12
2017/8/29,13
2017/8/30,10
2017/8/31,17
2017/9/1,61
2017/9/2,47
2017/9/3,33
2017/9/4,41
2017/9/5,30
2017/9/6,19
2017/9/7,30
2017/9/8,57
2017/9/9,40
2017/9/10,21
2017/9/11,33
2017/9/12,46
2017/9/13,32
2017/9/14,54
2017/9/15,72
2017/9/16,52
2017/9/17,42
2017/9/18,41
2017/9/19,30
2017/9/20,34
2017/9/21,53
2017/9/22,51
2017/9/23,86
2017/9/24,94
2017/9/25,38
2017/9/26,18
2017/9/27,19
2017/9/28,36
2017/9/29,63
2017/9/30,55
2017/10/1,60
2017/10/2,58
2017/10/3,9
2017/10/4,13
2017/10/5,29
2017/10/6,46
2017/10/7,55
2017/10/8,58
2017/10/9,11
2017/10/10,9
2017/10/11,24
2017/10/12,20
2017/10/13,62
2017/10/14,71
2017/10/15,60
2017/10/16,48
2017/10/17,38
2017/10/18,54
2017/10/19,64
2017/10/20,79
2017/10/21,63
2017/10/22,63
2017/10/23,87
2017/10/24,56
2017/10/25,83
2017/10/26,50
2017/10/27,78
2017/10/28,66
2017/10/29,29
2017/10/30,49
2017/10/31,61
2017/11/1,52
2017/11/2,42
2017/11/3,48
2017/11/4,82
2017/11/5,132
2017/11/6,141
2017/11/7,51
2017/11/8,101
2017/11/9,100
2017/11/10,24
2017/11/11,51
2017/11/12,94
2017/11/13,135
2017/11/14,143
2017/11/15,141
2017/11/16,210
2017/11/17,233
2017/11/18,40
2017/11/19,59
2017/11/20,67
2017/11/21,76
2017/11/22,37
2017/11/23,55
2017/11/24,65
2017/11/25,74
2017/11/26,83
2017/11/27,131
2017/11/28,99
2017/11/29,110
2017/11/30,134
2017/12/1,125
2017/12/2,189
2017/12/3,146
2017/12/4,96
2017/12/5,79
2017/12/6,95
2017/12/7,90
2017/12/8,32
2017/12/9,77
2017/12/10,60
2017/12/11,96
2017/12/12,108
2017/12/13,95
2017/12/14,135
2017/12/15,140
2017/12/16,43
2017/12/17,86
2017/12/18,82
2017/12/19,69
2017/12/20,74
2017/12/21,125
2017/12/22,184
2017/12/23,138
2017/12/24,46
2017/12/25,98
2017/12/26,144
2017/12/27,219
2017/12/28,307
2017/12/29,188
2017/12/30,68
2017/12/31,120
2018/1/1,180
2018/1/2,230
2018/1/3,139
2018/1/4,78
2018/1/5,110
2018/1/6,148
2018/1/7,101
2018/1/8,33
2018/1/9,57
2018/1/10,83
2018/1/11,112
2018/1/12,139
2018/1/13,227
2018/1/14,265
2018/1/15,280
2018/1/16,196
2018/1/17,136
2018/1/18,136
2018/1/19,142
2018/1/20,174
2018/1/21,178
2018/1/22,182
2018/1/23,127
2018/1/24,132
2018/1/25,140
2018/1/26,117
2018/1/27,128
2018/1/28,117
2018/1/29,45
2018/1/30,48
2018/1/31,30
2018/2/1,77
2018/2/2,32
2018/2/3,44
2018/2/4,83
2018/2/5,81
2018/2/6,98
2018/2/7,102
2018/2/8,90
2018/2/9,68
2018/2/10,57
2018/2/11,46
2018/2/12,56
2018/2/13,95
2018/2/14,141
2018/2/15,93
2018/2/16,217
2018/2/17,186
2018/2/18,140
2018/2/19,42
2018/2/20,55
2018/2/21,24
2018/2/22,27
2018/2/23,49
2018/2/24,33
2018/2/25,73
2018/2/26,118
2018/2/27,84
2018/2/28,52
2018/3/1,80
2018/3/2,92
2018/3/3,168
2018/3/4,50
2018/3/5,54
2018/3/6,43
2018/3/7,50
2018/3/8,61
